site,sample,date,temperature,,,,,,,,,,,
1,xxx,Mon,20.9,,,,,,,,,,,
1,xnl,Mon,20.9,,,,,,,,,,,
1,xxl,mon,20.9,,,,,,,,,,,
1,xnx,mon,20.9,,,,,,,,,,,
1,pxx,mon,20.9,,,,,,,,,,,
1,pxl,mon,20.9,,,,,,,,,,,
1,pnl,mon,20.9,,,,,,,,,,,
1,pnx,mon,20.9,,,,,,,,,,,
2,xxx,mon,18,,,,,,,,,,,
2,xnl,mon,18,,,,,,,,,,,
2,xxl,mon,18,,,,,,,,,,,
2,xnx,mon,18,,,,,,,,,,,
2,pxx,mon,18,,,,,,,,,,,
2,pxl,mon,18,,,,,,,,,,,
2,pnl,mon,18,,,,,,,,,,,
2,pnx,mon,18,,,,,,,,,,,
3,xxx,mon,21.2,,,,,,,,,,,
3,xnl,mon,21.2,,,,,,,,,,,
3,xxl,mon,21.2,,,,,,,,,,,
3,xnx,mon,21.2,,,,,,,,,,,
3,pxx,mon,21.2,,,,,,,,,,,
3,pxl,mon,21.2,,,,,,,,,,,
3,pnl,mon,21.2,,,,,,,,,,,
3,pnx,mon,21.2,,,,,,,,,,,
4,xxx,mon,17,,,,,,,,,,,
4,xnl,mon,17,,,,,,,,,,,
4,xxl,mon,17,,,,,,,,,,,
4,xnx,mon,17,,,,,,,,,,,
4,pxx,mon,17,,,,,,,,,,,
4,pxl,mon,17,,,,,,,,,,,
4,pnl,mon,17,,,,,,,,,,,
4,pnx,mon,17,,,,,,,,,,,
1,xxx,Wed,,,,,,,,,,,,
1,xnl,Wed,17.8,,,,,,,,,,,
1,xxl,Wed,19.1,,,,,,,,,,,
1,xnx,Wed,18.8,,,,,,,,,,,
1,pxx,Wed,17.8,,,,,,,,,,,
1,pxl,Wed,19.4,,,,,,,,,,,
1,pnl,Wed,17.3,,,,,,,,,,,
1,pnx,Wed,18.8,,,,,,,,,,,
2,xxx,Wed,18.1,,,,,,,,,,,
2,xnl,Wed,18,,,,,,,,,,,
2,xxl,Wed,18,,,,,,,,,,,
2,xnx,Wed,19.1,,,,,,,,,,,
2,pxx,Wed,17.7,,,,,,,,,,,
2,pxl,Wed,,,,,,,,,,,,
2,pnl,Wed,17.7,,,,,,,,,,,
2,pnx,Wed,17.7,,,,,,,,,,,
3,xxx,Wed,17.7,,,,,,,,,,,
3,xnl,Wed,17.8,,,,,,,,,,,
3,xxl,Wed,17.2,,,,,,,,,,,
3,xnx,Wed,17.4,,,,,,,,,,,
3,pxx,Wed,16.7,,,,,,,,,,,
3,pxl,Wed,17.8,,,,,,,,,,,
3,pnl,Wed,17.1,,,,,,,,,,,
3,pnx,Wed,17.5,,,,,,,,,,,
4,xxx,Wed,19.2,,,,,,,,,,,
4,xnl,Wed,21,,,,,,,,,,,
4,xxl,Wed,20,,,,,,,,,,,
4,xnx,Wed,19.5,,,,,,,,,,,
4,pxx,Wed,21.8,,,,,,,,,,,
4,pxl,Wed,20.1,,,,,,,,,,,
4,pnl,Wed,20.2,,,,,,,,,,,
4,pnx,Wed,18.9,,,,,,,,,,,
1,xxx,Thur,,,,,,,,,,,,
1,xnl,Thur,18.6,,,,,,,,,,,
1,xxl,Thur,18.3,,,,,,,,,,,
1,xnx,Thur,18.3,,,,,,,,,,,
1,pxx,Thur,18.4,,,,,,,,,,,
1,pxl,Thur,18.8,,,,,,,,,,,
1,pnl,Thur,18.9,,,,,,,,,,,
1,pnx,Thur,18.9,,,,,,,,,,,
2,xxx,Thur,20,,,,,,,,,,,
2,xnl,Thur,,,,,,,,,,,,
2,xxl,Thur,21,,,,,,,,,,,
2,xnx,Thur,19.9,,,,,,,,,,,
2,pxx,Thur,,,,,,,,,,,,
2,pxl,Thur,,,,,,,,,,,,
2,pnl,Thur,21.3,,,,,,,,,,,
2,pnx,Thur,21.5,,,,,,,,,,,
3,xxx,Thur,18.2,,,,,,,,,,,
3,xnl,Thur,18.3,,,,,,,,,,,
3,xxl,Thur,21.7,,,,,,,,,,,
3,xnx,Thur,18.3,,,,,,,,,,,
3,pxx,Thur,19.1,,,,,,,,,,,
3,pxl,Thur,18.4,,,,,,,,,,,
3,pnl,Thur,18.7,,,,,,,,,,,
3,pnx,Thur,18.2,,,,,,,,,,,
4,xxx,Thur,17.4,,,,,,,,,,,
4,xnl,Thur,17.9,,,,,,,,,,,
4,xxl,Thur,18.4,,,,,,,,,,,
4,xnx,Thur,17.4,,,,,,,,,,,
4,pxx,Thur,19.9,,,,,,,,,,,
4,pxl,Thur,17.6,,,,,,,,,,,
4,pnl,Thur,18.3,,,,,,,,,,,
4,pnx,Thur,17.7,,,,,,,,,,,